Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,label
2012-12-21,1443.67,1443.67,1422.58,1430.15,2998.60,3022.19,2995.13,3021.01,13309.95,13309.95,13122.53,13190.84,381.33,385.74,379.20,385.59,1
2012-12-24,1430.15,1430.15,1424.66,1426.66,3013.89,3016.18,3008.53,3012.60,13190.15,13190.38,13128.55,13138.93,384.39,385.16,382.76,384.14,1
2012-12-26,1426.66,1429.42,1416.43,1419.83,3013.13,3018.65,2983.35,2990.16,13138.85,13174.88,13076.87,13114.59,384.61,387.29,380.87,381.01,1
2012-12-27,1419.83,1422.80,1401.80,1418.10,2989.87,2993.66,2951.04,2985.91,13114.97,13141.74,12964.08,13096.31,380.80,381.05,375.16,379.55,1
2012-12-31,1402.43,1426.74,1398.11,1426.19,2955.45,3021.41,2953.52,3019.51,12938.19,13109.13,12883.89,13104.14,376.47,384.63,375.87,384.06,0
2013-01-02,1426.19,1462.43,1426.19,1462.42,3091.33,3112.65,3083.49,3112.26,13104.30,13412.71,13104.30,13412.55,392.77,399.82,392.77,399.73,0
2013-01-03,1462.42,1465.47,1455.53,1459.37,3108.49,3118.18,3092.28,3100.57,13413.01,13430.60,13358.30,13391.36,396.96,400.67,396.26,397.54,1
2013-01-04,1459.37,1467.94,1458.99,1466.47,3100.88,3108.44,3090.81,3101.66,13391.05,13447.11,13376.23,13435.21,397.85,398.59,395.00,397.68,1
2013-01-07,1466.47,1466.47,1456.62,1461.89,3089.17,3102.35,3083.88,3098.81,13436.13,13436.13,13343.32,13384.29,395.71,397.56,393.84,395.78,1
2013-01-08,1461.89,1461.89,1451.64,1457.15,3098.46,3103.39,3076.60,3091.81,13377.42,13377.42,13293.13,13328.85,395.40,396.56,391.06,391.36,0
2013-01-09,1457.15,1464.73,1457.15,1461.02,3099.65,3111.22,3096.34,3105.81,13329.92,13416.55,13329.08,13390.51,393.35,395.52,392.87,395.47,0
2013-01-10,1461.02,1472.30,1461.02,1472.12,3125.64,3127.72,3098.47,3121.76,13391.82,13478.20,13382.29,13471.22,399.47,401.35,397.49,400.73,0
2013-01-11,1472.12,1472.75,1467.58,1472.05,3122.12,3126.59,3114.10,3125.63,13471.45,13496.68,13439.97,13488.43,400.75,403.23,400.50,402.86,0
2013-01-14,1472.05,1472.05,1465.69,1470.68,3113.65,3123.48,3104.08,3117.50,13488.43,13520.18,13459.84,13507.32,401.46,403.02,398.68,401.89,0
2013-01-15,1470.67,1473.31,1463.76,1472.34,3101.06,3112.29,3093.32,3110.78,13507.32,13546.37,13445.80,13534.89,400.06,400.39,398.10,399.87,1
2013-01-16,1472.33,1473.96,1467.60,1472.63,3110.72,3124.65,3106.79,3117.54,13534.89,13534.89,13468.96,13511.23,399.73,405.51,399.63,404.46,1
2013-01-17,1472.63,1485.16,1472.63,1480.94,3130.49,3144.05,3125.79,3136.00,13511.23,13633.89,13510.24,13596.02,405.30,413.27,405.30,412.53,0
2013-01-18,1480.95,1485.98,1475.81,1485.98,3127.91,3134.73,3119.20,3134.71,13596.02,13649.93,13571.86,13649.70,409.68,412.16,408.68,410.64,0
